,index,site_y,product,product_price,review_header,reviewer_name,review_content,review_star_rating,review_helpful_votes,review_polarity,review_subjectivity,review_length,total_star_rating,prod_subjectivity,pred_useful,rank
0,3424,Target,Doritos Nacho Cheese Flavored Tortilla Chips - 14.5oz,6.69,Yummy chip!,Jeff Jake,Best snack ever! Taco flavor is also awesome when available.,5,0,0.8,0.566666667,10.0,4.8,0.6818181818181818,1,1
1,3769,bestbuy,HP - DeskJet 2755e Wireless Inkjet Printer with 3 months of Instant Ink Included with HP+ - White,49.99,Hp printer,nadeem,I love the printer. It works overall well. Instant ink service is a plus that keeps the hassle away.,4,0,0.166666667,0.422222222,19.0,4.1,0.4801345755693582,1,2
2,2279,Target,GE JES1460DSBB 1.4 Cu. Ft. Black Counter Top Microwave,190.1,Great features,Chrisann,"Very glad I bought this microwave. Easy to use. You can use one touch for minutes or put in an exact time and has an assortment of choices to choose from like popcorn, defrost, beverage, chicken, etc.",5,0,0.306666667,0.756666667,37.0,4.4,0.3945085778419112,1,3
3,6484,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,love it,Eeeee,"I love this product, we need it for all electronics in the house  and it served it purpose and the price was right.",5,0,0.428571429,0.578571429,24.0,4.5,0.4601818181818181,1,4
4,8515,bestbuy,Hogwarts Legacy Standard Edition - Xbox Series X,44.99,AAA+,HannahS,Great phone and awesome purchase experience. Would definitely recommend.,5,0,0.6,0.75,9.0,4.8,0.4047023809523811,1,5
5,12179,bestbuy,"Norton - 360 Deluxe (5 Device) Antivirus Internet Security Software + VPN + Dark Web Monitoring (1 Year Subscription) - Android, Mac OS, Windows, Apple iOS [Digital]",24.99,Norton Protect,GsBBuy,Have been using NORTON for years and find it most friendly and protective Anti-Virus protection.,5,0,0.4375,0.5,15.0,4.4,0.4782189677934357,1,6
6,511,amazon,"LG C3 Series 65-Inch Class OLED evo 4K Processor Smart Flat Screen TV for Gaming with Magic Remote AI-Powered OLED65C3PUA, 2023 with Alexa Built-in",1596.0,Magic Remote is terrible. Software is terrible.,Eric Ascman,So happy I have a Roku I can use instead of the terrible LG OS.,1,0,-0.3,0.866666667,15.0,4.6,0.4818186423505572,1,7
7,5993,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,Great,Anonymous,Very good great and the remaining and all the rest,5,0,0.836666667,0.76,10.0,4.5,0.4601818181818181,1,8
8,9516,amazon,Igloo 24 qt IMX Lockable Insulated Ice Chest Injection Molded Cooler,94.99,Inside space,Amazon Customer,Wish the inside had more space,5,0,0.5,0.5,6.0,4.4,0.7404761904761905,1,9
9,229,amazon,"Microsoft 365 Family | 12-Month Subscription, Up to 6 People | Word, Excel, PowerPoint | 1TB OneDrive Cloud Storage | PC/MAC Instant Download | Activation Required",99.99,Good product,Aditya Sharma,Works great,5,0,0.75,0.675,2.0,4.4,0.5047619047619047,1,10
