,index,site_y,product,product_price,review_header,reviewer_name,review_content,review_star_rating,review_helpful_votes,pred_useful
0,8930,amazon,Mario Kart 8 Deluxe - US Version,39.99,List of Changes (Compared to the Wii U version),Vincent,"This is the definitive edition version of Mario Kart 8, and a must buy for those who never owned the Wii U version. For those who already own the Wii U version, the changes may or not be worth it depending on what you're looking for. Without further ado here are the list of changes compared to the Wii U version:

1. 1080p with higher frame rate* when docked (TV mode) instead of 720p (on Wii U). Tabletop mode it's still 720p. Frame rate TV mode is 60fps, off TV mode is 59fps. Yes, one frame makes a difference when comparing side-by-side and/or when you have been playing dozens of hours of the original

2. 5 new characters: King Boo, Bowser Jr, Dry Bones, & Inklings (Boy and Girl)

3. Characters can now carry up to two items at once, even if they don't drag the first item

4. Double Item Box. Get two items when you run through a double item box or two singles. Note that you cannot swap items back and forth

5. ""Smart Steering"" A mode that prevents you from running off course or into a puddle of water. Good for toddlers or young children getting into the game (especially on the rainbow road courses). If the Smart Steering mode is on, the player's vehicle will have an antenna sticking out its rear end. The antenna blinks when Smart Steering is active.

6. ""Auto-accelerate"" for beginners. Can be used in conjunction with Smart Steering, essentially you don't have to hold down the accelerate button. Again, good for young children who just want to drive through the track without any stop-gaps. Works well when using the wheel peripheral

7. All DLC (from Wii U) included. Everything is unlocked from beginning except kart parts and Gold Mario. Kart Parts are unlocked by playing through the game and collecting coins. Gold Mario unlocked by winning all of the 200cc grand prix cup

8. Time Trials in the 200cc engine class have been added. Also added are new ghosts of Nintendo employees to race against

9. Ultra Mini-Turbo, denoted by pink/purple sparks that appear after the orange sparks which makes you boost significantly faster. Cannot be used with smart steering on

10. Online Play.
-Option to change character and vehicle combinations during an online lobby without having to leave/exit out; this is done by pressing the ""Y"" button during the course selection screen of an online lobby.

- You can see what lap everyone is in, in spectator mode if you finish early

-When you win a match you get to wear a crown in the main online menu screen for everyone in the lobby to see. Hat also present when you're in the lead during a match

- More icon packs for tournament mode

11. Faster loading times. Just a few seconds, but it adds up overtime. If you purchase Mario Kart Deluxe digital over the physical you get 1-2 secs off each track loading screen

12. New amiibo compatibility. You now get racing suits when scanning in specific amiibo

13. Boo and feather (battle mode only) item return to the game

14. You get the same 48 courses racing courses. But you get 5 additional new battle stages in battle mode + 3 retro stages

15. The Villager in now split between male and female selectable characters with different stats bringing the roster to the total of 42 characters (excluding character variants. Example: different color yoshis/shy guys, create your own mii, etc)

16. Graphical change: Motion Blur, High Quality Shadows, Confetti now drop to the ground showing animation at start of match

17. Battle mode: Biggest change in terms of gameplay. There are 4 battle mode game types:

-Balloon Battle. Traditional Arena Style (no more battling in a circle) Mario Kart Battle mode where you use items to pop your opponent's balloons or steal them via feather item in order to score points.

-Renegade Round Up. Cops and Robbers style setup. One team with the potted piranha plants try to capture all the other team before time runs out. Once captured your teammate can also free you from your jail cell

-Bob-omb Blast. Same as balloon battle, but you only carry bombs

-Coin Runner. Collect as many coins in the stage as you can before time runs out

-Shine Thief. A keepway style game where you have to hold the Shrine Sprite the longest before time runs out. The driver holding the shrine sprite will have their speed lower the longer they hold it

==Additional notes:
- There's 4 player split screen in docked (TV mode) and handheld/table top mode. Note that the screen for table top mode is really small and may be a problem for those who are far-sighted. When playing 2 player it's 60fps, 3 or more on the same screen it'll drops down 30fps

-There's no Download Play, so you have to play split screen or have another copy of the game if you don't want to share the same screen or play more than 4 players

-Stamps do not make a return since the Switch doesn't have miiverse

-No more gamepad/duel screen when playing TV mode, so this time around you cannot see what items everyone is holding by glancing down

-No voice chat (as of this review) unfortunately. Was present in the Wii U version with mic hardware (which no one bought). There's supposed to be a smart phone app that takes advantage of voice chat, but no word yet from Nintendo

-Statistics of the vehicle parts and drivers have also been changed to make game more balanced

-Other balance changes:
Fire Hopping have been removed: An exploit in the Wii U version where you can repeatedly hop from left to right to get extra speed from turboboost.

Blue shell dodge exploit still present. It's when you fall off the cliff the last second the blue shell is about to hit you, it'll save a lot of time recovering from the hit. Note this cannot be done when smart steering mode is on

If a Blooper is about to ink the player as they cross the finish line, the player will still get inked.

Red Shell Nerfed: If you're holding an item behind you while in the air, you can block a red shell

Easier to break while drifting (advanced tactic)

-Luigi still has his signature death stare

If there's anything I missed please put it in the comments.

Overall, i personally think the best additions are the enhanced battle mode and the portability aspect as I can now play during my break period and commute to work. I already sunk in over 300+ hours on the Wii U version and the upgrade is totally worth it for me as I got more than my money's worth in the original game on Wii U and plan to sync 300+ on the Switch version especially with the ease of use due to it's portability, and 100+ more hours of play in battle mode play with housemates. Well that is my personal perspective, so if you are in a similar situation it's a very good buy. If not, I hope the list of changes helped you in your purchasing decision",5,0,0.9999943509333423
1,10975,Target,Dyson Ball Animal 3 Extra Upright Vacuum,499.99,"The good, the bad, and the questionable.",Just Some Guy,"Our last vacuum was a DC-07. Used it for 18 years. It was a great vacuum overall, and would still be going strong today, but my wife needs something easier to handle due to her bad back. She narrowed her choices down to two vacuums: the Ball Animal 3, and a competitor's. Obviously, given our positive experience with the DC-07, we went with the Dyson, and also because the competitor's model still uses bags (seriously?) which we didn't want to deal with. In terms of engineering, the Ball Animal 3 is impressive. The suction is incredibly powerful. In fact, it's so powerful that in some cases--like bathroom rugs, hallway runners, etc--it's actually a detriment because the rug buckles as you're pulling the vacuum back. My wife likes the head design; it's lower to the ground so it can get into tighter spaces under chairs, etc. I also like that you can see the brush bar while operating the vacuum, so you know whether it's spinning or needs to be cleaned. So as far as engineering and technology are concerned, the Ball Animal 3 is fantastic. The vacuum's Achille's heal, however, is its ergonomics. This is not an easy vacuum to use, and requires a fair amount of strength to push around. I'm 6'3"" 250+ lbs, and by the time I'm finished vacuuming with the Ball Animal 3, my shoulder feels like it's going to fall off, and my back hurts for about a half hour afterwards, from the coccyx up to the middle. If *I'm* this stiff, sore, sweating like a pig, and gasping for air after using the vacuum, imagine what it must be like for my poor wife and her bad back! This vacuum does not ""roll"" or ""glide"" across the carpet, and frankly I also feel it's a lot harder to maneuver. On a positive note, though, the clutch mechanism is in a much more user-friendly location now (an electronic switch next to the power button versus having to bend over and manipulate a mechanical knob); but then Dyson goes and cancels it out by putting the suction adjustment slider in an even more inconvenient location than where the DC-07 clutch knob was. My wife likes the wand on this unit better than the DC-07. I disagree, but I do like that the tools can be directly attached to the hose now. That's probably the best improvement Dyson made, ergonomically speaking. Unfortunately, the main chassis/body still ""follows"" you around whenever you stretch the hose, getting in the way and making the job harder. The on-board storage of the tools isn't very good, either, and seems like it was more of an afterthought. The brush bar is much easier to remove on the Ball Animal 3. It's more of a sleeve that fits over the actual rotating mechanism, so no special tool is required to disconnect the drive belt from the roller bar. Lastly, both filters on the Ball Animal 3 are washable (the post-motor filter on the DC-07 wasn't washable and had to be replaced periodically, and was difficult to access). Now as for the construction of the Ball Animal 3, that remains in question. Some of the plastic, particularly in the handle and the flip-up wand end cap, is really flimsy and bends way too much. I feel like it's going to snap or permanently deform at any moment. However, being open-minded, perhaps the flexibiltiy helps _prevent_ the plastic from snapping. I don't know. Time will tell. I'm torn. On the one hand, I want the Ball Animal 3 to give us 18+ years of reliable service like the DC-07 did; but on the other hand, I am not looking forward to my wife and I (especially her) having to lug this thing around while using it. We may be back in the market sooner than later.",3,0,0.9991015746856129
2,146,amazon,"HP DeskJet 2755e Wireless Color inkjet-printer, Print, scan, copy, Easy setup, Mobile printing, Best-for home, Instant Ink with HP+,white",49.89,Nope. Don't do it.,Kimberly,"I was excited to find an affordable printer for my small business that seemed to fit the needs I have.
That excitement was short lived however.
It is about the most frustrating piece of equipment I've ever dealt with. The days of a printer that just PRINTS are apparently in the rear view mirror, everything with this thing was a hassle.
Set up, connecting to WiFi, connecting to laptop- you basically HAVE to use HPs ridiculous, slow, and glitchy app in order for it to ""work"".

This printer is(was) an absolute trash bag NIGHTMARE.
It worked fine about half the time, but required constant fussing with even then.
The other half the time it just didn't. :(
No reason given, just an error as I'm frantically trying to print labels to mail my products out.
Connected to WiFi, connected to phone/computer, it just says ""naaaaah"".
Guessing it has to do with the sleep mode that you can't turn off, but who knows? (Side note- who wants a dang sleep mode?! I don't care of it uses a little power to work when I want, sheesh!)

The instant ink subscription seems like a good deal at first, until you realize you're paying by pages you actually print, NOT for the ink.
After about the 100th time of me spending 45 mins trying to print a UPS label and not being able to for exactly zero reason, this piece of crap found out the hard way.
I quietly and calmly unplugged it, carried it gently out on the front porch of my store, and hulk smashed it down the solid stone steps into the parking lot. More glass in there than I thought. 

Hate to have wasted money, but it felt pretty good to office space this worthless piece of trash. I low-key wish I could put it back together so I could smash it again, I HATE THIS THING!
H A T E H A T E H A T E H A T E H A T E H A T E
I'll never, EVER, buy another HP product.
Not a printer, not a laptop, not even a pack of paper. I hope all the bad things of the world happen to whoever invented this particular piece of crap. Stub your toe forever, lose your wallet, your keys, have diarrhea. Blegh
I'm still so angry I'm vibrating, and now I get to go buy another printer so I can send out my clients purchases. Yay.",1,0,0.994655364549391
3,11068,Target,Star Wars Jedi: Survivor - PlayStation 5,69.99,"Good game, very bad performance",Brad,"Runs very poorly on ps5, slow frame rate & stuttering. I would not pay more than $20 for this garbage.",1,0,0.9802644752261558
4,9842,amazon,Dyson Ball Animal 3 Extra Upright Vacuum Cleaner,399.0,It broke the first time I used it and burned my foot.,raincitykitty,"I purchased this item from a big box store and not Amazon. I'm leaving a review here because I hope others will see it. My old Animal Complete died this morning after 13 years of use. I decided to replace it with this one. What a major mistake.

As others have mentioned, it's hard to get the vacuum head to stay attached. It fell off twice after I heard it click into place. The handle and tools are considerably more flimsy than they were on my old Dyson and the vacuum head is smaller. The dirt cup seems smaller, too.

After using it for about 5 minutes, I smelled burning plastic. When I took a step forward to take a look at it, I stepped on a chunk of molten blue plastic on my carpet. The red brush strip had come off the roller (ripped off somehow, because blue strips from the roller were present as well) and wrapped around the axle of the vacuum head rendering it completely frozen and unable to rotate.

The only positive thing that I can say about it is that for the few minutes it did work without spewing molten plastic, it worked really well for both dirt and pet hair even on places I thought were already clean.

I returned it. Even if the issue with the roller brushes was a defect (and I haven't seen anyone else mention it), the cheap look and feel of this is much different from my old Animal Complete and I'll probably go with another brand.",1,0,0.9758213774098244
5,10513,amazon,"LEYAOYAO Cube Bookshelf 3 Tier Mid-Century Rustic Brown Modern Bookcase with Legs,Retro Wood Bookshelves Storage Organizer Shelf,Freestanding Open Book Shelves for Bedroom,Living Room,Office",99.98,Its a NO for me,nancheee,"Everything about this product was simply awful. The boxing came ripped yet put together by tape and you could see Styrofoam pieces coming through the cracks. I know that boxes can get damaged due to traveling in the trucks, so I assumed thats the reason the box looked that way. The box even had a sticker that was marked heavy but it did not feel heavy at all. I go to open it to start putting it together and the Styrofoam gets all over the place... Its all over each piece, all over my living room, and all over my clothes. I start taking out pieces and I knew right away that a lot of the shelving pieces were missing, and they were.
Im surprised that this item has such good reviews, because it does look nice, but I feel like it is still cheap quality. I did not see anyone else note that the legs that support the complete shelving unit are made of plastic. I think whatever you place on these shelves need to be very lightweight like picture frames and maybe a vase or two Small weightless items. I was planning to put Toys, books, puzzles for my daughter and I dont feel that this shelving unit would support the weight of those items.
I obviously had to return it, but if I give any kind of suggestion to anyone thinking of buying this shelf, it is to think about what it is youre going to be putting on the shelves to make sure that they are lightweight enough and to take into consideration the legs are plastic- you could probably not attach them if youd like.. but thats one of the high quality-looking features. If I wanted a simple, cheap shelf, I would just buy one at target for half the price.",2,0,0.971854456580913
6,10885,amazon,"Best Choice Products Upholstered Sectional Sofa for Home, Apartment, Dorm, Bonus Room, Compact Spaces w/Chaise Lounge, 3-Seat, L-Shape Design, Reversible Ottoman Bench, 680lb Capacity - Blue/Gray",359.99,Utter Garbage,Berto,"Wow. I really dont know where to begin. The holes dont line up, the construction is remarkably shoddy, the parts are uneven and dont fit together properly. The feet dont sit flush against the bottom of the couch, theres a 4mm gap on one half of the center feet, so its only a matter of time until it fails.
Its also super uncomfortable. The smaller cushions are less dense foam than the large cushion, and slightly different thicknesses. The back is also much shorter than it looks, which means sitting in it is awkward.
You also cant return it without paying $75, and its impossible to get back into the box anyway since all the cushions are vacuum sealed and they triple in size once opened.
Do yourself a favor and look elsewhere. This couch will make you very sad.
UPDATE: its been nine months, and it just gets worse. The center of the couch is collapsing, the cushion foam is deteriorating, and when my girlfriend and I sit on the couch together, we shock each other with static electricity whenever one of us moves.
My roommates are like well, I guess thats what we get for $200. Except it was $420.
I wish I had never even considered buying furniture online.",1,0,0.9656491286164063
7,349,amazon,"TurboTax Basic 2023 Tax Software, Federal Tax Return [PC/Mac Download]",39.99,Now requires an Intuit account for activation but account creation site is broken,AJH,"Make sure you can create (and log in to) an intuit.com account _before_ you purchase!

As of this version, TurboTax requires activation via a live Internet connection by logging in to an Intuit.com account. However, the site to create a new account is broken, and does not work for many email addresses and phone numbers. I can not create an account, so I can not login, so I can not activate my purchase, so I can not use the software which I have already paid for. Support has been utterly useless, regularly affirming that my case is top priority but offering no solution, for over 30 days now. Despite my expertise as a software engineer, my extensive and thorough debugging, and my clear proof that the problem is on their end, I get nothing but nonsensical ""turn it off an on again"" and ""clear your cache"" recommendations. They eventually got fed up with me and closed my case with no resolution. After 25 years of TurboTax, I have switched to H&R Block.",1,0,0.9596411578824594
8,314,amazon,"TurboTax Basic 2023 Tax Software, Federal Tax Return [PC/Mac Download]",39.99,Turbo Tax is a great tax program but.......,Amazon Customer,"First off I've been using Turbo Tax disc version since 2012 and love the simplicity of doing complex taxes in a relatively short time. Since the first time I installed Turbo Tax using physical discs, I've had zero problems until this 2023 tax version. My PC is running Windows 10 and just like everytime before I install software, I make sure Windows is updated. Upon startup of the install disc two error messages appeared stating two dll files were missing for necessary installation. Upon investigation I found that the files belonged to Microsoft visual c++ which is a program used by Turbo Tax during creating it and is also part of the Windows system. The problem apparently was that my freshly updated Windows 10 didn't have the same version of Windows Virtual C++ that the 2023 Turbo Tax required. So after an hour or so of searching the internet I found and downloaded three versions of the missing files because the required one was unknown to me. After trying each one, one by one, I finally stumbled on the correct version and Turbo Tax took off and Installed. Besides this being extremely annoying, the whole process was ridiculous for something that should have all the necessary files on the disc for a normal installation. The disc package states it's for Windows 10. Shouldn't have to search the internet for required files especially since I've been running Turbo Tax on the same PC for years.",3,0,0.9596159090471997
9,350,amazon,"TurboTax Basic 2023 Tax Software, Federal Tax Return [PC/Mac Download]",39.99,"Installed it, but because of their absurd ""security"" can't even get into it to work at all!",David p.,"I've used this product for years, but this time around it now requires that I set up an account with Intuit - which their poor interface won't let me successfully do! It either says ""that function is unavailable"" when I try to create a new account, tells me to use a different web browser (which I'm not even using at all), or throws a mindless CapTcha ""prove you're human"" test at me that's impossible to see in the super small window on the screen and which I can't pass after trying for over an hour. (Last year I discovered that I couldn't open any of my older TurboTax returns to re-print them - the software wanted me to re-enter new license keys on the same system it was already installed on - leaving me in a huge mess). What good is a software product if you can't even get it to run? With what they've done to it, not recommended at all!",1,0,0.9537613632199511
