,index,count,mean,std,min,25%,50%,75%,max,IQR,UpperLimit,LowerLimit,type
0,productID,46079.0,5.467696781614184,5.151862085038554,1.0,1.0,4.0,9.0,24.0,8.0,21.0,-11.0,global
1,review_star_rating,46079.0,4.401549512793246,1.1163986585321952,1.0,4.0,5.0,5.0,5.0,1.0,6.5,2.5,global
2,review_helpful_votes,46079.0,0.5159400160593763,6.137005255088269,0.0,0.0,0.0,0.0,637.0,0.0,0.0,0.0,global
3,review_subjectivity,46079.0,0.5823699629072334,0.19491460399937804,0.0,0.4791666666666667,0.5981481481481482,0.7083333333333334,1.0,0.22916666666666669,1.0520833333333335,0.13541666666666669,global
4,review_polarity,46079.0,0.35445332837537624,0.2855454187748351,-1.0,0.17222222222222225,0.3666666666666667,0.5444444444444444,1.0,0.3722222222222221,1.1027777777777774,-0.38611111111111085,global
5,review_length,46077.0,32.33572064153482,42.83624734579075,1.0,13.0,20.0,36.0,1164.0,23.0,70.5,-21.5,global
6,site_outlier,46079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global
7,site_outlier_en,46079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global
8,global_outlier,46079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global
9,global_outlier_en,46079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global
0,productID,5353.0,12.159163086119932,7.52388316194313,1.0,6.0,11.0,20.0,24.0,14.0,41.0,-15.0,site_amazon
1,review_star_rating,5353.0,3.339622641509434,1.5783336630900704,1.0,2.0,4.0,5.0,5.0,3.0,9.5,-2.5,site_amazon
2,review_helpful_votes,5353.0,2.988417709695498,16.710625596562075,0.0,0.0,0.0,1.0,637.0,1.0,2.5,-1.5,site_amazon
3,review_subjectivity,5353.0,0.523825628135255,0.20530200542686414,0.0,0.425,0.5333333333333333,0.6444444444444445,1.0,0.2194444444444445,0.9736111111111112,0.09583333333333327,site_amazon
4,review_polarity,5353.0,0.17700677202432696,0.28437427228222006,-1.0,0.0,0.15451453308596166,0.35,1.0,0.35,0.8749999999999999,-0.5249999999999999,site_amazon
5,review_length,5351.0,63.04447766772566,78.27925975217582,1.0,16.0,38.0,81.0,1164.0,65.0,178.5,-81.5,site_amazon
6,site_outlier,5353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_amazon
7,site_outlier_en,5353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_amazon
8,global_outlier,5353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_amazon
9,global_outlier_en,5353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_amazon
0,productID,26190.0,2.28995799923635,1.424491068575798,1.0,1.0,1.0,4.0,5.0,3.0,8.5,-3.5,site_bestbuy
1,review_star_rating,26190.0,4.577815960290187,0.9222911212447388,1.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,site_bestbuy
2,review_helpful_votes,26190.0,0.1516991218022146,2.45660570315654,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,site_bestbuy
3,review_subjectivity,26190.0,0.591087150785105,0.19080234663483367,0.0,0.49595959595959593,0.6000000000000001,0.7166666666666667,1.0,0.22070707070707074,1.0477272727272728,0.16489898989898982,site_bestbuy
4,review_polarity,26190.0,0.3985434078060841,0.2770208064634205,-1.0,0.22857142857142856,0.4125,0.5854166666666667,1.0,0.35684523809523816,1.120684523809524,-0.30669642857142876,site_bestbuy
5,review_length,26190.0,25.57815960290187,33.45613965572485,1.0,12.0,17.0,28.0,1016.0,16.0,52.0,-12.0,site_bestbuy
6,site_outlier,26190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_bestbuy
7,site_outlier_en,26190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_bestbuy
8,global_outlier,26190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_bestbuy
9,global_outlier_en,26190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,site_bestbuy
0,productID,14536.0,8.728948816730876,3.7840035761326067,1.0,6.0,10.0,11.0,20.0,5.0,18.5,-1.5,site_target
1,review_star_rating,14536.0,4.475027517886626,1.012170011083937,1.0,4.0,5.0,5.0,5.0,1.0,6.5,2.5,site_target
2,review_helpful_votes,14536.0,0.2616951018161805,1.773607523839468,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,site_target
3,review_subjectivity,14536.0,0.5882233389056472,0.19465525343795412,0.0,0.4785714285714286,0.6,0.7166666666666667,1.0,0.23809523809523808,1.0738095238095238,0.1214285714285715,site_target
4,review_polarity,14536.0,0.34036088450202234,0.2741101770524761,-1.0,0.17333333333333334,0.3515476190476191,0.51,1.0,0.33666666666666667,1.0150000000000001,-0.33166666666666667,site_target
