url,product_title,product_details,product_specs,product_price,total_star_rating,total_star_votes
https://www.target.com/p/jbl-charge-5-portable-bluetooth-waterproof-speaker-red-target-certified-refurbished/-/A-88249290,JBL Charge 5 Portable Bluetooth Waterproof Speaker - Target Certified Refurbished,"Highlights
Target Certified Refurbished speaker works and looks just like new and is backed by a 1 year mechanical warranty.
Rechargable battery with up to 20 hours of playtime
Waterproof and dustproof
Wirelessly connect up to 2 smartphones or tablets to the speaker
Wirelessly connect up to 2 speakers with PartyBoost
Built-in powerbank lets you charge your mobile devices
What's in the Box?
1 Target Certified Refurbished JBL Charge 5 Red Speaker in generic packaging (does not come in the original box)
1 USB-C charging cable
Description
Take the party with you no matter what the weather. This Target Certified Refurbished JBL Charge 5 Red speaker delivers rich and clear sound, with its optimized long excursion driver, separate tweeter and dual pumping JBL bass radiators. Rain? Spilled drinks? Beach sand? The waterproof and dustproof Charge 5 survives whatever comes its way.",,$107.99 ,5,2 star ratings
https://www.target.com/p/microsoft-365-personal-12-month-subscription-digital/-/A-78297146,Microsoft 365 Personal 12-Month Subscription (Digital),"Highlights
For one person
Use on Windows PCs, Macs, iPads, iPhones, Android tablets & phones
Premium Office apps including Word, Excel, PowerPoint, Outlook
1 TB of OneDrive cloud storage
Ad-free Outlook email & calendars
Advanced writing assistance with Microsoft Editor
Advanced file and email security
Description
One convenient subscription for 1 person. Microsoft 365 Personal comes equipped with premium Office apps, including Word, PowerPoint, Excel, Outlook and more. Receive 1 TB of OneDrive cloud storage for 1 person which allows you to access, edit, and share your files and photos across all your devices—all while knowing your information is always backed up and protected.


With a Microsoft 365 yearly subscription, it is easy to create, organize, and get things done faster and with more efficiency.
Bring out the very best in your performance with premium Office apps from Microsoft, including Word, Excel, and PowerPoint, be it on a Mac system or a Windows 10 PC.

- Accessibility, editing, and sharing of files and photos across devices is now easy with the 1 TB of OneDrive cloud storage available.
- Office 365 helps you keep it all organized together with Outlook, an email app with an ad-free experience, that has calendars, to-do lists and contacts, as well as security tools to keep your information protected.
- Advanced security features protect your files, like the built-in ransomware detection and recovery. You can also use the two-step identity verification for access to your most important files in the OneDrive Personal Vault.
- Enjoy a seamless experience with the flexibility to use multiple PCs, Macs, iPads, iPhones and Android phones.

Show more",,$69.99 ,3,26 star ratings
https://www.target.com/p/turbotax-2023-deluxe-federal-and-state-tax-software/-/A-89741680,TurboTax 2023 Deluxe Federal and State Tax Software,"Highlights
TurboTax® Deluxe Federal + State helps to maximize 350+ deductions and credits.
5 Federal e-files are included.
1 State download included in this purchase.
State e-file is additional and sold separately.
Free U.S.-based product support via phone (hours may vary)
Accurately deduct mortgage interest and property taxes.
Guides you through the latest tax laws with ease.
Audit Risk Meter™ checks your return for audit triggers
Save time by uploading a picture or PDF of your W-2 to import your data securely into the right forms
Your downloaded software resides on your computer, so you can view and manage your tax data (Intuit Account required).
IMPORTANT: Installation Requirements: Product download, installation and activation requires an Intuit Account and internet connection. Product limited to one account per license code. You must accept the TurboTax License Agreement to use this product. Not for use by paid preparers.
Description
TurboTax® Deluxe + State coaches you every step of the way. It is tailored to your unique situation. It searches for hundreds of deductions and credits and handles even the toughest tax situations, so you can be confident you’re getting every dollar you deserve. Recommended if you own a home, have charitable donations, high medical expenses and need to file both Federal & State Tax Returns. Includes 5 Federal e-files and 1 State via download. State e-file sold seperately. Free U.S.-based product support (hours may vary). Get your taxes done right and your maximum refund. Maximizes 350+ deductions and credits. Easily imports W-2s, investment & mortgage information from participating companies (may require free Intuit account). Accurately track and value items you donate to charities with ItsDeductible™ (included). Before you file, TurboTax runs thousands of checks to help identify missing deductions or credits.
Show more",,$69.99 ,4.3,12983 star ratings
https://www.target.com/p/hamilton-beach-4-slice-toaster-24782/-/A-87232566,Hamilton Beach 4 slice Toaster 24782,"Highlights
EVENLY TOASTS BOTH SIDES OF SINGLE SLICE: With the Sure-Toast™ One Slice toast feature on the 4 slice toaster, you get perfectly toasted bread, with balanced color and texture on both sides every time you toast. Just press the One Slice button.
EASILY RETRIEVE SMALLER BREADS: A convenient feature you won't find on all bread toasters, Auto Boost automatically lifts smaller breads like English muffins and gluten-free bread slices so they're easier to retrieve after toasting.
FOOD THAT LOOKS AS GOOD AS IT TASTES: Even toasting improves color and texture of toast, English muffin, and sandwiches made with toasted breads.
PERFECTLY TOASTS BAGELS: The bagel function toasts the cut side of the bagel and warms the outside for a great bagel-eating experience. You get crunchy, toasted bread on one side and warm, soft bread on the other.
GIVE FROZEN FOODS EXTRA TIME TO COOK: Use the defrost setting for optimal cook time and flavor when toasting frozen breads and waffles. Just press one button to defrosts and toast.
Description
The Hamilton Beach® Classic Stainless Steel 4 Slice Toaster does everything you'd expect a toaster to do, plus a lot more. The Sure-Toast™ One Slice feature is designed to evenly toast on both sides of a single slice. Just press the One Slice button. With Sure-Toast™, bread, waffles, English muffins, and sandwiches made from toasted breads will look as good as they taste. Whether you toast 1, 2, 3 or 4 slices, you always get balanced toast color and texture. Toasting smaller breads is no problem either. Auto Boost automatically lifts small breads like English muffins and gluten-free bread slices higher so they're easier to retrieve from the toaster. The bagel function perfectly toasts bagels — it toasts the cut side and gently warms the outside so your bagels are toasty on one side and soft on the other. The defrost setting ensures optimal cook time and great performance when toasting frozen breads and waffles. Wide toasting slots easily accommodate thicker breads like Texas toast and bagels. Stop the toast cycle at any time by simply pressing the Cancel button. The large pullout crumb tray is easy to access and clean, but out of sight. Choose from 9 toast shades.",,$59.99 ,,
https://www.target.com/p/razor-24v-mx350-dirt-rocket-electric-powered-ride-on-bike-blue/-/A-53550140,Razor 24V MX350 Dirt Rocket Electric Powered Ride-On Bike - Blue,"Highlights
Authentic motocross frame geometry, the MX350 scales down the dirt bike to size for riders ages 13+ and up to 140 lb (64 kg)
High-torque, rear-wheel chain-drive delivers increased power and traction
Powers riders at speeds of up to 14 mph (22 km/h) with up to 30 minutes of continuous use
Features adjustable-angle, riser-style handlebars, spoked wheels with 12” (305 mm) pneumatic, knobby tires, retractable kickstand, and hand-operated rear brake
Electric dirt bike with 24V (two 12V) sealed lead-acid rechargeable battery system
Description
Kick start your off-road adventures with the Razor MX350 Dirt Rocket. The scaled-down, electric powered dirt bike is the perfect start for the next generation of motocross riders, combining top-notch performance with true to life motocross design. Designed with rear-wheel drive for better traction and balance control, the high-torque, chain-driven electric motor powers riders up to 14 mph (22 km/h) for up to 30 minutes of continuous use, while the authentic MX-frame geometry, knobby tires and twist grips throttle prepare riders for adventures on dirt. This item is UL 2849 certified.",,$329.99 ,4.1,431 star ratings
https://www.target.com/p/lg-65-34-class-4k-uhd-2160p-smart-oled-tv-oled65c3/-/A-88196023,"LG 65"" Class 4K UHD 2160p Smart OLED TV - OLED65C3","Highlights
Brighter picture powered by Brightness Booster*
Additional screen sizes perfect for gaming
GeForce Now cloud gaming + easy-access gaming controls
Cinematic picture and sound with Dolby Atmos® & Vision®**
Updated smart TV interface with Hands-Free Voice Recognition
Description
The advanced LG OLED evo C-Series is better than ever. The LG OLED evo C3 is powered by the next-gen α9 AI Processor Gen6—exclusively made for LG OLED—for ultra-realistic picture and sound. And the Brightness Booster improves brightness so you get luminous picture and high contrast, even in well-lit rooms.* AI-assisted deep learning analyzes what you're watching to choose the best picture and sound setting for your content. The LG OLED evo C3 not only performs great, but looks great as well. With an almost invisible bezel, it will blend into the background for a seamless look. When you're finished watching, display paintings, photos and other content to blend the LG OLED evo C3 into your space even more. But that's not all. Experience less searching and more streaming, thanks to the next generation of AI technology from LG webOS 23. Every LG OLED comes loaded with Dolby Vision™ for extraordinary color, contrast and brightness, plus Dolby Atmos®** for wrap-around sound. And LG's FILMMAKER MODE™ allows you to see films just as the director intended. Packed with gaming features, the LG OLED evo C-Series comes with everything you need to win like a 0.1ms response time, native 120Hz refresh rate and four HDMI 2.1 inputs.

*Based on LG internal testing: 55/65/77/83"" LG OLED evo C3 models are brighter than non-OLED evo B3 models and excludes the 42"" and 48"" LG OLED evo C3.
**Dolby, Dolby Atmos and the double-D symbol are registered trademarks of Dolby Laboratories.",,"$1,599.99 ",4.7,668 star ratings
https://www.target.com/p/ge-jes1460dsbb-1-4-cu-ft-black-counter-top-microwave/-/A-90238388,GE JES1460DSBB 1.4 Cu. Ft. Black Counter Top Microwave,"Highlights
1.4 Cu. Ft. Capacity, 1100W Of Power
10 Power Levels / 8 Sensor Cook Buttons
Electronic Controls With Interactive LED Touch-panel
Dimensions (WHD): 21 7/8 X 12 1/2 X 16 3/8 in.
Description
Heat and reheat a variety of food with this GE JES1460DSBB mid-size microwave, which features 10 power levels and 7 sensor cook buttons for rapid, efficient operation. Control lockout gives you peace of mind by preventing accidental or unsupervised use. Electronic controls with interactive LED touch-panel Offer quick, simple operation. Spacious 1.4 cu. ft. interior Accommodates a wide variety of meal and snack items. 1100W of cooking power Give you the ability to rapidly prepare frozen pizza, pot roast and more. 7 sensor cook buttons Allow you to heat popcorn, beverages, potatoes, vegetables, chicken and fish, as well as reheat leftovers with the touch of a button. Weight and time defrost controls provide additional options. 12.5 glass turntable Helps your food heat evenly and can be removed for cleaning or extra cooking space. Control lockout Prevents unsupervised use. Timer Counts down a set amount of minutes to help you stay on track.",,$190.10 ,4.4,3083 star ratings
https://www.target.com/p/windex-original-blue-glass-cleaner-spray-26-fl-oz/-/A-53411349,Windex Original Blue Glass Cleaner Spray - 26 fl oz,"Highlights
Committed to bottles made from 100% recovered coastal plastic*
*Recovered Coastal Plastic, in partnership with Plastic Bank, is post-consumer recycled plastic collected on land within 31 miles of an ocean so that it does not reach oceans or landfills.
Windex® Glass Cleaner leaves an unbeatable streak-free shine**
**Based on Windex® Original lab testing against leading competitor glass cleaners per Nielsen Scantrack US 52 weeks ended 3/29/19.
Starts working on smudges and fingerprints even before you wipe
Lightens and brightens your home, leaving it sparkling clean
This glass cleaner is perfect for cleaning glass, windows, mirrors and more
Description
Trusted by generations for an unbeatable streak-free shine*, Windex® Original Glass Cleaner is a great solution for lightening and brightening your home. Relax and recharge by letting in all the feel-good power of natural light with Windex® unbeatable streak-free window cleaner. It starts working on smudges, dirt, fingerprints and other messes even before you wipe. Windex is committed to bottles made from 100% recovered coastal plastic**. This glass cleaner works great on windows, mirrors, glass and more. Enjoy 100% of the goodness that natural light brings with Windex® Original Glass Cleaner. Light is Life. Let it all in.

*Based on Windex® Original lab testing against leading competitor glass cleaners per Nielsen Scantrack US 52 weeks ended 3/29/19.

**Recovered Coastal Plastic, in partnership with Plastic Bank, is post-consumer recycled plastic collected on land within 31 miles of an ocean so that it does not reach oceans or landfills.",,$3.79 ,4.7,5578 star ratings
https://www.target.com/p/doritos-nacho-cheese-flavored-tortilla-chips-14-5oz/-/A-13319564,Doritos Nacho Cheese Flavored Tortilla Chips - 14.5oz,,,$6.69 ,4.8,2641 star ratings
https://www.target.com/p/crest-cavity-38-tartar-protection-toothpaste-baking-soda-38-peroxide-5-7oz-3pk/-/A-87085873,"Crest Cavity & Tartar Protection Toothpaste, Baking Soda & Peroxide - 5.7oz/3pk","Highlights
Contains baking soda and peroxide for a clean mouth feeling
Whitens teeth by removing surface stains
Gentle on tooth enamel
Freshens breath for a clean feeling mouth
For better whitening, use with Oral-B iO brush, Crest 3DW mouthwash, and Crest 3DWhitestrips
Brush 2X per day for 2 minutes
Description
Crest Plus Baking Soda & Peroxide Toothpaste with Tartar Protection gives you a cavity treatment that helps take care of your mouth. Regular brushing can help protect your teeth and strengthen weak spots to help fight cavities. The formula contains baking soda and peroxide, and it whitens your teeth by removing surface stains. Plus, it fights tartar buildup, and it'll leave your breath feeling fresh.",,$5.29 ,4.7,341 star ratings
